Структурное подразделение;Должность (специальность, профессия), разряд, класс (категория) квалификации;Количество человек;Из них мужчин;Из них женщин до 40 лет;Из них женщин старше 40 лет.;№ пункта и приложения приказа №302н;Наименование пункта приказа №302н;Периодичность;Примечание
Цех окраски;Бригадир 1, 2, 3 категории;2;;1;1;п.1.2.2 прил.1;Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКР, ацетальдегид, акролеин, бензальдегид, фталевый альдегид и прочие);1 раз в год;
;;;;;;п.1.2.3 прил.1;Альдегидов и кетонов галогенопроизводные (хлорбензальдегид, фтор-ацетон, хлорацетофенон и прочие);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех окраски;Инженер-электроник;1;1;;;п.3.2.2.2 прил.1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех окраски;Ведущий инженер по оборудованию ;0;;;;п.3.2.2.2 прил.1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Мастер смены 1, 2, 3 категории ;2;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех окраски;Руководитель ремонтно-эксплуатационной службы;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Инженер-технолог;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех окраски;Начальник цеха ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Оператор производства 1, 2, 3, 4, 5, 6 категории;23;3;10;10;п.1.2.2 прил.1;Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКР, ацетальдегид, акролеин, бензальдегид, фталевый альдегид и прочие);1 раз в год;
;;;;;;п.1.2.3 прил.1;Альдегидов и кетонов галогенопроизводные (хлорбензальдегид, фтор-ацетон, хлорацетофенон и прочие);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех окраски;Слесарь-ремонтник 1, 2, 3, 4 категории ;4;4;;;п. 3.2.2.2 прил. 1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.1.2.3 прил.1;Альдегидов и кетонов галогенопроизводные (хлорбензальдегид, фтор-ацетон, хлорацетофенон и прочие);1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.2 прил.1;Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКР, ацетальдегид, акролеин, бензальдегид, фталевый альдегид и прочие);1 раз в год;
;;;;;;п.1.2.33.1 прил.1;Спирты, в том числе: алифатические одно- и многоатомные, ароматические и их производные: этанол, бутан-1-ол, бутан-2-ол, бутанол, пропан-1-ол, пропан-2-ол, 2-(Проп-2-енокси) этанол, 2-этоксиэтанолР, бензилкарбинолР, этан-1,2-диол (этиленгликоль), пропан-2-диол (пропиленгликоль) и прочие;1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
Цех окраски;Технический специалист КПО (1, 2, 3 кат);4;4;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п. 1.2.21.1 прил.1;"натрий, калий, рубидий, цезий, цезиевая соль хлорированного бисдикар-бонилкобальта и прочие; кальций, магний, стронций, барий, магнид медиФ, магний додекаборид и прочие; лантан, иттрий, скандий, церий и их соединения:";1 раз в 2 года;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.33.1 прил.1;Спирты, в том числе: алифатические одно- и многоатомные, ароматические и их производные: этанол, бутан-1-ол, бутан-2-ол, бутанол, пропан-1-ол, пропан-2-ол, 2-(Проп-2-енокси) этанол, 2-этоксиэтанолР, бензилкарбинолР, этан-1,2-диол (этиленгликоль), пропан-2-диол (пропиленгликоль) и прочие;1 раз в 2 года;
;;;;;;п.1.2.48 прил.1;ГидроксибензолР (фенол) и его производные;1 раз в 2 года;
;;;;;;п.1.2.54.1 прил.1;Эфиры сложные кислот органических, в том числе: эфиры сложные уксусной кислоты (этилацетат, бутилацетат, 2-метоксиэтилацетатР, 2-этоксиэтилацетатР и прочие);1 раз в 2 года;
Цех окраски;Технический специалист по водоподготовке (1, 2, 3 кат);1;1;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.54.1 прил.1;Эфиры сложные кислот органических, в том числе: эфиры сложные уксусной кислоты (этилацетат, бутилацетат, 2-метоксиэтилацетатР, 2-этоксиэтилацетатР и прочие);1 раз в 2 года;
Цех окраски;Технический специалист (1, 2, 3 кат);3;3;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Электромеханик 1, 2, 3 категории ;2;2;;;п.3.2.2.2 прил.1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п. 1.2.21.1 прил.1;"натрий, калий, рубидий, цезий, цезиевая соль хлорированного бисдикар-бонилкобальта и прочие; кальций, магний, стронций, барий, магнид медиФ, магний додекаборид и прочие; лантан, иттрий, скандий, церий и их соединения:";1 раз в 2 года;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.33.1 прил.1;Спирты, в том числе: алифатические одно- и многоатомные, ароматические и их производные: этанол, бутан-1-ол, бутан-2-ол, бутанол, пропан-1-ол, пропан-2-ол, 2-(Проп-2-енокси) этанол, 2-этоксиэтанолР, бензилкарбинолР, этан-1,2-диол (этиленгликоль), пропан-2-диол (пропиленгликоль) и прочие;1 раз в 2 года;
;;;;;;п.1.2.48 прил.1;ГидроксибензолР (фенол) и его производные;1 раз в 2 года;
;;;;;;п.1.2.54.1 прил.1;Эфиры сложные кислот органических, в том числе: эфиры сложные уксусной кислоты (этилацетат, бутилацетат, 2-метоксиэтилацетатР, 2-этоксиэтилацетатР и прочие);1 раз в 2 года;
Цех сборки (интерьер);Бригадир 1, 2, 3, 4 категории ;3;3;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.1.1.2 прил.1;"Канцерогены, ""К""";1 раз в год;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех сборки (интерьер);Начальник цеха ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех сборки (интерьер);Наладчик 1, 2, 3, 4 категории ;4;4;;;п.1.1.2 прил.1;"Канцерогены, ""К""";1 раз в год;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п.6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех сборки (интерьер);Оператор производства ;1;1;;;п.1.1.2 прил.1;"Канцерогены, ""К""";1 раз в год;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п.4.1. прил.1;Физические перегрузки (физическая динамическая нагрузка, масса поднимаемого и перемещаемого груза вручную, стереотипные рабочие движения, статическая нагрузка, рабочая поза, наклоны корпуса, перемещение в пространстве);1 раз в год;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех сборки (интерьер);Оператор производства 1, 2, 3, 4, 5, 6 категории ;12;9;2;1;п.1.1.2 прил.1;"Канцерогены, ""К""";1 раз в год;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п.4.1. прил.1;Физические перегрузки (физическая динамическая нагрузка, масса поднимаемого и перемещаемого груза вручную, стереотипные рабочие движения, статическая нагрузка, рабочая поза, наклоны корпуса, перемещение в пространстве);1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех сборки (экстерьер);Бригадир 1, 2, 3 категории ;5;4;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех сборки (экстерьер);Инспектор по качеству (1, 2 категории);3;3;;;п.3.12 прил.1;Световая среда (искусственное и естественное освещение) (при отнесении условий труда по данному фактору по результатам аттестации рабочих мест по условиям труда к вредным условиям);1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех сборки (экстерьер);Наладчик 1, 2, 3 категории ;2;2;;;п.4.1. прил.1;Физические перегрузки (физическая динамическая нагрузка, масса поднимаемого и перемещаемого груза вручную, стереотипные рабочие движения, статическая нагрузка, рабочая поза, наклоны корпуса, перемещение в пространстве);1 раз в год;
;;;;;;п. 10 прил. 2;Работы, выполняемые непосредственно на механическом оборудовании, имеющем открытые движущиеся (вращающиеся) элементы конструкции (токарные, фрезерные и другие станки, штамповочные прессы и др.);1 раз в 2 года;
Цех сборки (экстерьер);Начальник цеха ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех сборки (экстерьер);Оператор производства 1, 2, 3, 4, 5, 6 категории ;13;10;2;1;п. 10 прил. 2;Работы, выполняемые непосредственно на механическом оборудовании, имеющем открытые движущиеся (вращающиеся) элементы конструкции (токарные, фрезерные и другие станки, штамповочные прессы и др.);1 раз в 2 года;
;;;;;;п.4.1. прил.1;Физические перегрузки (физическая динамическая нагрузка, масса поднимаемого и перемещаемого груза вручную, стереотипные рабочие движения, статическая нагрузка, рабочая поза, наклоны корпуса, перемещение в пространстве);1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
;;;;;;п.3.4.1 прил. 1;Локальная вибрация;1 раз в 2 года;
тест;тест;;;;;п.1.1.1. прил.1;;;
;;;;;;п.1.1.2. прил.1;;;
;;;;;;п.1.1.3. прил.1;;;
;;;;;;п.1.1.4.1. прил.1;;;
;;;;;;п.1.1.4.2. прил.1;;;
;;;;;;п.1.1.4.3.1. прил.1;;;
;;;;;;п.1.1.4.3.2. прил.1;;;
;;;;;;п.1.1.4.3.3. прил.1;;;
;;;;;;п.1.1.4.4. прил.1;;;
;;;;;;п.1.1.4.5. прил.1;;;
;;;;;;п.1.1.4.6.1. прил.1;;;
;;;;;;п.1.1.4.6.2. прил.1;;;
;;;;;;п.1.1.4.6.3. прил.1;;;
;;;;;;п.1.1.4.6.4. прил.1;;;
;;;;;;п.1.1.4.7. прил.1;;;
;;;;;;п.1.1.4.8.1. прил.1;;;
;;;;;;п.1.1.4.8.2. прил.1;;;
;;;;;;п.1.2.1. прил.1;;;
;;;;;;п.1.2.2. прил.1;;;
;;;;;;п.1.2.3. прил.1;;;
;;;;;;п.1.2.4.1. прил.1;;;
;;;;;;п.1.2.4.2. прил.1;;;
;;;;;;п.1.2.5. прил.1;;;
;;;;;;п.1.2.6. прил.1;;;
;;;;;;п.1.2.7.1. прил.1;;;
;;;;;;п.1.2.7.2. прил.1;;;
;;;;;;п.1.2.8.1. прил.1;;;
;;;;;;п.1.2.8.2. прил.1;;;
;;;;;;п.1.2.9. прил.1;;;
;;;;;;п.1.2.10. прил.1;;;
;;;;;;п.1.2.11. прил.1;;;
;;;;;;п.1.2.12. прил.1;;;
;;;;;;п.1.2.13. прил.1;;;
;;;;;;п.1.2.14.1. прил.1;;;
;;;;;;п.1.2.14.2. прил.1;;;
;;;;;;п.1.2.15. прил.1;;;
;;;;;;п.1.2.16. прил.1;;;
;;;;;;п.1.2.17. прил.1;;;
;;;;;;п.1.2.18. прил.1;;;
;;;;;;п.1.2.19. прил.1;;;
;;;;;;п.1.2.20.1. прил.1;;;
;;;;;;п.1.2.20.2. прил.1;;;
;;;;;;п.1.2.20.3. прил.1;;;
;;;;;;п.1.2.21.1. прил.1;;;
;;;;;;п.1.2.21.2. прил.1;;;
;;;;;;п.1.2.22. прил.1;;;
;;;;;;п.1.2.23. прил.1;;;
;;;;;;п.1.2.24. прил.1;;;
;;;;;;п.1.2.25. прил.1;;;
;;;;;;п.1.2.26. прил.1;;;
;;;;;;п.1.2.27. прил.1;;;
;;;;;;п.1.2.28. прил.1;;;
;;;;;;п.1.2.29. прил.1;;;
;;;;;;п.1.2.30.1. прил.1;;;
;;;;;;п.1.2.30.2. прил.1;;;
;;;;;;п.1.2.31. прил.1;;;
;;;;;;п.1.2.32.1. прил.1;;;
;;;;;;п.1.2.32.2. прил.1;;;
;;;;;;п.1.2.32.3. прил.1;;;
;;;;;;п.1.2.32.4. прил.1;;;
;;;;;;п.1.2.32.5. прил.1;;;
;;;;;;п.1.2.33.1. прил.1;;;
;;;;;;п.1.2.33.2. прил.1;;;
;;;;;;п.1.2.34. прил.1;;;
;;;;;;п.1.2.35. прил.1;;;
;;;;;;п.1.2.36. прил.1;;;
;;;;;;п.1.2.37. прил.1;;;
;;;;;;п.1.2.38. прил.1;;;
;;;;;;п.1.2.39. прил.1;;;
;;;;;;п.1.2.40. прил.1;;;
;;;;;;п.1.2.41. прил.1;;;
;;;;;;п.1.2.42. прил.1;;;
;;;;;;п.1.2.43. прил.1;;;
;;;;;;п.1.2.44. прил.1;;;
;;;;;;п.1.2.45.1. прил.1;;;
;;;;;;п.1.2.45.2. прил.1;;;
;;;;;;п.1.2.45.3. прил.1;;;
;;;;;;п.1.2.46.1. прил.1;;;
;;;;;;п.1.2.46.2. прил.1;;;
;;;;;;п.1.2.47. прил.1;;;
;;;;;;п.1.2.48. прил.1;;;
;;;;;;п.1.2.49.1. прил.1;;;
;;;;;;п.1.2.49.2. прил.1;;;
;;;;;;п.1.2.50. прил.1;;;
;;;;;;п.1.2.51. прил.1;;;
;;;;;;п.1.2.52.1. прил.1;;;
;;;;;;п.1.2.52.2. прил.1;;;
;;;;;;п.1.2.53. прил.1;;;
;;;;;;п.1.2.54.1. прил.1;;;
;;;;;;п.1.2.54.2. прил.1;;;
;;;;;;п.1.2.54.3. прил.1;;;
;;;;;;п.1.3.1. прил.1;;;
;;;;;;п.1.3.2.1. прил.1;;;
;;;;;;п.1.3.2.2. прил.1;;;
;;;;;;п.1.3.2.3. прил.1;;;
;;;;;;п.1.3.2.4. прил.1;;;
;;;;;;п.1.3.2.5. прил.1;;;
;;;;;;п.1.3.2.6. прил.1;;;
;;;;;;п.1.3.2.7. прил.1;;;
;;;;;;п.1.3.2.8. прил.1;;;
;;;;;;п.1.3.2.9. прил.1;;;
;;;;;;п.1.3.2.10. прил.1;;;
;;;;;;п.1.3.2.11. прил.1;;;
;;;;;;п.1.3.2.12. прил.1;;;
;;;;;;п.1.3.2.13. прил.1;;;
;;;;;;п.1.3.2.14. прил.1;;;
;;;;;;п.1.3.2.15. прил.1;;;
;;;;;;п.1.3.2.16. прил.1;;;
;;;;;;п.1.3.3. прил.1;;;
;;;;;;п.1.3.4.1. прил.1;;;
;;;;;;п.1.3.4.2. прил.1;;;
;;;;;;п.1.3.4.3. прил.1;;;
;;;;;;п.1.3.4.4.1. прил.1;;;
;;;;;;п.1.3.4.4.2. прил.1;;;
;;;;;;п.1.3.4.4.3. прил.1;;;
;;;;;;п.1.3.4.5. прил.1;;;
;;;;;;п.1.3.4.6. прил.1;;;
;;;;;;п.1.3.4.7. прил.1;;;
;;;;;;п.1.3.4.8. прил.1;;;
;;;;;;п.1.3.4.9. прил.1;;;
;;;;;;п.1.3.4.10. прил.1;;;
;;;;;;п.1.3.4.11. прил.1;;;
;;;;;;п.1.3.4.12. прил.1;;;
;;;;;;п.1.3.4.13. прил.1;;;
;;;;;;п.1.3.4.14. прил.1;;;
;;;;;;п.1.3.5. прил.1;;;
;;;;;;п.1.3.6. прил.1;;;
;;;;;;п.1.3.7. прил.1;;;
;;;;;;п.1.3.8.1. прил.1;;;
;;;;;;п.1.3.8.2. прил.1;;;
;;;;;;п.1.3.9.1. прил.1;;;
;;;;;;п.1.3.9.2.1. прил.1;;;
;;;;;;п.1.3.9.2.2. прил.1;;;
;;;;;;п.1.3.9.3. прил.1;;;
;;;;;;п.1.3.9.4.1. прил.1;;;
;;;;;;п.1.3.9.4.2. прил.1;;;
;;;;;;п.1.3.9.5. прил.1;;;
;;;;;;п.1.3.9.6. прил.1;;;
;;;;;;п.1.3.9.7. прил.1;;;
;;;;;;п.2.1. прил.1;;;
;;;;;;п.2.2. прил.1;;;
;;;;;;п.2.3. прил.1;;;
;;;;;;п.2.4. прил.1;;;
;;;;;;п.2.5.1. прил.1;;;
;;;;;;п.2.5.2. прил.1;;;
;;;;;;п.2.6. прил.1;;;
;;;;;;п.2.7. прил.1;;;
;;;;;;п.3.1. прил.1;;;
;;;;;;п.3.2.1. прил.1;;;
;;;;;;п.3.2.2.1. прил.1;;;
;;;;;;п.3.2.2.2. прил.1;;;
;;;;;;п.3.2.2.3. прил.1;;;
;;;;;;п.3.2.2.4. прил.1;;;
;;;;;;п.3.2.2.5. прил.1;;;
;;;;;;п.3.3. прил.1;;;
;;;;;;п.3.4.1. прил.1;;;
;;;;;;п.3.4.2. прил.1;;;
;;;;;;п.3.5. прил.1;;;
;;;;;;п.3.6. прил.1;;;
;;;;;;п.3.7. прил.1;;;
;;;;;;п.3.8. прил.1;;;
;;;;;;п.3.9. прил.1;;;
;;;;;;п.3.10. прил.1;;;
;;;;;;п.3.11. прил.1;;;
;;;;;;п.3.12. прил.1;;;
;;;;;;п.4.2. прил.1;;;
;;;;;;п.4.3. прил.1;;;
;;;;;;п.4.1. прил.1;;;
;;;;;;п.4.4.1. прил.1;;;
;;;;;;п.4.4.2. прил.1;;;
;;;;;;п.4.4.3. прил.1;;;
;;;;;;п.1. прил.2;;;
;;;;;;п.1.1. прил.2;;;
;;;;;;п.1.2. прил.2;;;
;;;;;;п.2. прил.2;;;
;;;;;;п.3. прил.2;;;
;;;;;;п.4. прил.2;;;
;;;;;;п.4.1. прил.2;;;
;;;;;;п.4.2. прил.2;;;
;;;;;;п.4.3. прил.2;;;
;;;;;;п.4.4. прил.2;;;
;;;;;;п.5. прил.2;;;
;;;;;;п.6. прил.2;;;
;;;;;;п.7. прил.2;;;
;;;;;;п.8. прил.2;;;
;;;;;;п.9. прил.2;;;
;;;;;;п.10. прил.2;;;
;;;;;;п.11. прил.2;;;
;;;;;;п.12. прил.2;;;
;;;;;;п.13. прил.2;;;
;;;;;;п.14. прил.2;;;
;;;;;;п.15. прил.2;;;
;;;;;;п.16. прил.2;;;
;;;;;;п.17. прил.2;;;
;;;;;;п.18. прил.2;;;
;;;;;;п.19. прил.2;;;
;;;;;;п.20. прил.2;;;
;;;;;;п.21. прил.2;;;
;;;;;;п.22. прил.2;;;
;;;;;;п.23. прил.2;;;
;;;;;;п.24. прил.2;;;
;;;;;;п.25. прил.2;;;
;;;;;;п.26. прил.2;;;
;;;;;;п.27. прил.2;;;
;;;;;;п.27.1. прил.2;;;
;;;;;;п.27.2. прил.2;;;
;;;;;;п.27.3. прил.2;;;
;;;;;;п.27.4. прил.2;;;
;;;;;;п.27.5. прил.2;;;
;;;;;;п.27.6. прил.2;;;
;;;;;;п.27.7. прил.2;;;
;;;;;;п.27.8. прил.2;;;
;;;;;;п.27.9. прил.2;;;
;;;;;;п.27.10. прил.2;;;
;;;;;;п.27.11. прил.2;;;
;;;;;;п.27.12. прил.2;;;
;;;;;;п.27.13. прил.2;;;
;;;;;;п.27.14. прил.2;;;
;;;;;;п.27.15. прил.2;;;
;;;;;;п.27.16. прил.2;;;
